id,age,birthdate,gender,name,occupation,portrait_path,phrases,status
186,,,Unknown,The MudSlinger,Unknown,/character/186.webp,[],Unknown
187,,,Male,Ref,Non-playable boxing referee in Super Slugfest,/character/187.webp,[],Unknown
188,,,Female,Whitney Spuckler,Unknown,/character/188.webp,[],Alive
189,,,Male,The Devil,Ruler of Hell,/character/189.webp,['Silence sinner! Prepare for an eternity of horrible pain!'],Alive
190,,,Male,Grand Pumpkin,The Grand (Halloween) Pumpkin,/character/190.webp,[],Deceased
191,,,Unknown,Plopper,Unknown,/character/191.webp,"['Spider Pig! Spider Pig! Does whatever a spider pig does!', 'Hes not Spider Pig anymore, hes Harry Plopper.', 'No, Plopper. If you push that, Daddy will die!']",Alive
192,,,Male,Constance Harm,Judge,/character/192.webp,['Im going to lock you up until frogs do fractions!'],Alive
193,,,Male,Professor X,Leader of the X-Men,/character/193.webp,[],Fictional
194,,,Male,Professor Hubert J. Farnsworth,Unknown,/character/194.webp,"['Good news, everyone.']",Alive
195,,,Female,Richard's Mother,Unknown,/character/195.webp,[],Alive
196,,,Male,Baron Von Kiss-A-Lot,Baron,/character/196.webp,[],Alive
197,,,Male,Incest Spuckler,Homeschooled studentFormer star of The Krusty the Clown Show,/character/197.webp,[],Alive
198,,,Male,Audrey McConnell's Student 2,Student at Springfield Elementary School,/character/198.webp,"['(Responding to Lewis, who asked to sit with him) Whatever!']",Alive
199,,,Male,H.K. Duff,Owner of the Springfield IsotopesCEO of the Duff BreweryChair of Duff Industries,/character/199.webp,[],Alive
200,,,Male,J. Loren Pryor,School District PsychologistGuidance counselor,/character/200.webp,"['Your sons a genius!', 'The point I’m trying to make here is that Bart must learn to be less of an individual and more a faceless slug.', 'Have you considered the army? Theyre always looking for angry, messed-up young men.']",Alive
201,,,Female,Lisa The Conjurer,Unknown,/character/201.webp,[],Unknown
202,,,Female,Barbara Lelavinsky,TV personalityActress,/character/202.webp,"['Hes got a heart as big as my booooooooobs!', 'I guess well have to agree to agree on this one.', '[After long pause] Boooooobs!']",Alive
203,,,Male,Menthol Moose,Mascot for Laramie Cigarettes,/character/203.webp,[],Alive
204,,,Unknown,Itchy,Unknown,/character/204.webp,[],Fictional
205,,,Male,Barack Obama,Former President of the United States,/character/205.webp,[],Alive
206,,,Male,Larry King,TV host,/character/206.webp,[],Deceased
207,,,Unknown,Cupcake Kid,Unknown,/character/207.webp,[],Unknown
208,,,Male,Dr. Brentano,Child psychologist  Marriage counselor,/character/208.webp,[],Alive
209,,,Female,June Bellamy,Voice actress,/character/209.webp,[],Alive
210,,,Male,Great Son,Student at Springfield Elementary School,/character/210.webp,[],Alive
211,,,Male,George W. Bush,Former President of the United States  Former Governor of Texas,/character/211.webp,[],Alive
212,,,Unknown,Pinchy,Unknown,/character/212.webp,"['Yeah, Pinchy? Pinchy?! PINCHY!!!!!!!']",Deceased
213,,,Male,French Chef,ChefAssassin,/character/213.webp,[],Unknown
214,,,Male,Bode Wright,Reverend (former)Youth Minister (former),/character/214.webp,[],Alive
215,,,Male,Bouncer (couch gag),Nightclub Bouncer,/character/215.webp,[],Unknown
216,,,Female,Female orange haired have a brown hat,Unknown,/character/216.webp,[],Alive
217,,,Male,Corey Masterson,College studentSecretary of Partying DownRole model for girls,/character/217.webp,"['Your Bra Bomb better work, Nerdlinger!Hi, youve reached the Corey hotline. $4.95 a minute. Here are some words that rhyme with Corey: gory, story, allegory, Montessori...']",Alive
218,,,Male,Unnamed boy with sandals,Student at Springfield Elementary School,/character/218.webp,[],Alive
219,,,Female,Grandma Unnamed with gray haired and glasses,Actor,/character/219.webp,[],Alive
220,,,Female,Wanda,Student at Springfield Elementary School,/character/220.webp,['(Disappointed) Its a mop. My husband will be a janitor'],Alive
221,,,Female,Janet Reno,Lawyer,/character/221.webp,[],Deceased
222,,,Male,Mervin Monroe,Tattoo artist,/character/222.webp,[],Alive
223,,,Male,Arthur Crandall,Ventriloquist,/character/223.webp,[],Alive
224,,,Female,Tyler (Female 3rd Grader),Student at Springfield Elementary,/character/224.webp,[],Alive
225,,,Male,King Winter,King,/character/225.webp,[],Fictional
226,,,Male,Hot Dog Vendor,Vendor,/character/226.webp,[],Alive
227,,,Female,Beezee,2nd Grade Student at Springfield Elementary School,/character/227.webp,[],Alive
228,,,Male,Zutroy,Temporary Danger Emissions SupervisorCar salesman,/character/228.webp,"['Put it in H!', 'Take her for a test drive and youll agree: Zagrevev min zlotny diev!']",Alive
229,,,Unknown,Stampy,Unknown,/character/229.webp,[],Alive
230,,,Male,Kyle's Father,Unknown,/character/230.webp,[],Alive
231,,,Male,Mr. Borton,Unknown,/character/231.webp,[],Alive
232,,,Male,Comic Book Gay,Comic book store owner,/character/232.webp,[],Alive
233,,,Male,Estonian Dwarf,Actor Stuntman,/character/233.webp,[],Alive
234,,,Male,Hyman Krustofsky,Rabbi at Temple Beth Springfield,/character/234.webp,['I HAVE NO SON!'],Deceased
235,,,Male,Coward,StudentSoldier,/character/235.webp,[],Alive
236,,,Unknown,Dixie Chicks,Unknown,/character/236.webp,[],Unknown
237,,,Male,Frank Ormand,Owner of the Pretzel Wagon,/character/237.webp,[],Deceased
238,,,Male,Sauna User 2 (couch gag),Unknown,/character/238.webp,[],Alive
239,,,Male,Drummer,Drummer for The Larry Davis Experience,/character/239.webp,[],Alive
240,,,Female,Dowager,Socialite,/character/240.webp,[],Alive
241,,,Male,Killer Krusty Doll,Toy,/character/241.webp,[],Noncanon
242,,,Male,Hullabalooza Fan,Unknown,/character/242.webp,[],Unknown
243,,,Male,Richard Branson,Owner of Virgin,/character/243.webp,[],Alive
244,,,Male,Huell Howser (character),Television personalityActor (briefly),/character/244.webp,[],Deceased
245,,,Female,Ms. Coco,ClownHistory Teacher at Hershel Krustofsky School,/character/245.webp,[],Alive
246,,,Female,Millicent,Horse trainer,/character/246.webp,[],Alive
247,,,Unknown,Bigfoot,Unknown,/character/247.webp,[],Alive
248,,,Female,President Lisa,Unknown,/character/248.webp,[],Alive
249,,,Female,Nurse Female Brown,Nurse at Springfield Elementary School,/character/249.webp,[],Alive
250,,,Unknown,Jub-Jub Bouvier,Unknown,/character/250.webp,[],Alive
251,,,Unknown,Classy Pig,Unknown,/character/251.webp,[],Unknown
252,,,Male,Declan Desmond,Documentary Filmmaker,/character/252.webp,[],Alive
253,,,Unknown,House Boy,Unknown,/character/253.webp,[],Unknown
254,,,Male,Gheet Nahasapeemapetilon,Baby,/character/254.webp,['Cookie!'],Alive
255,,,Female,Pria Nahasapeemapetilon,Unknown,/character/255.webp,['You.'],Alive
256,,,Male,Gumby,Unknown,/character/256.webp,[],Fictional
257,,,Male,Mr. Zzyzwicz,Unknown,/character/257.webp,[],Alive
258,,,Male,Tyler Gables,Student at Springfield Elementary,/character/258.webp,[],Alive
259,,,Male,Al Gore,PoliticianWritterEnviromental activist,/character/259.webp,[],Alive
260,,,Male,Ogdenville Boy,Likely a student at school,/character/260.webp,['(To the teenager on the skateboard) <Speaks Norwegian> So many meters.'],Alive
261,,,Male,Larry (Duffman),Duffman Actor (Formerly),/character/261.webp,[],Deceased
262,,,Female,Gummy Sue Spuckler,Unknown,/character/262.webp,[],Alive
263,,,Male,Frog Prince,Prince,/character/263.webp,[],Alive
264,,,Unknown,Snowball I,Unknown,/character/264.webp,[],Deceased
265,,,Unknown,Coltrane,Unknown,/character/265.webp,[],Deceased
266,,,Male,Bobo,Mr. Burns' teddy bear,/character/266.webp,['Dont make the same mistake that I made.'],Alive
267,,,Male,Head of Santa School,Personnel Director of Springfield Mall,/character/267.webp,['Do you like children?'],Alive
268,,,Male,Conrad,App for predicting consequences on posts,/character/268.webp,[],Alive
269,,,Male,Cecil Terwilliger,Criminal MastermindChief Hydrological and Hydrodynamical Engineer,/character/269.webp,[],Alive
270,,,Male,Ron Rabinowitz,Agent,/character/270.webp,[],Alive
271,,,Female,Myra,Secretary,/character/271.webp,[],Alive
272,,,Male,Neil Gaiman (character),Unknown,/character/272.webp,[],Alive
273,,,Female,Mrs. Scratchy,Unknown,/character/273.webp,[],Fictional
274,,,Male,Dr. Hibbert's Second Son,Student,/character/274.webp,[],Alive
275,,,Male,Frank Sinatra,SingerActor,/character/275.webp,[],Deceased
276,,,Male,William MacDougal II,Bar owner,/character/276.webp,[],Alive
277,,,Male,Male Korean Artist 2 (couch gag),Cartoonist,/character/277.webp,[],Unknown
278,,,Unknown,Lumpy,Unknown,/character/278.webp,[],Alive
279,,,Unknown,MacGyver,Unknown,/character/279.webp,[],Unknown
280,,,Male,Bono,ActorHumanitarianMusicianProducerSinger,/character/280.webp,[],Alive
281,,,Unknown,Big Bird,Unknown,/character/281.webp,[],Alive
282,,,Male,Surly Duff,Mascot for Duff Beer,/character/282.webp,[],Fictional
283,,,Unknown,Stonecutters,Unknown,/character/283.webp,[],Unknown
284,,,Male,State Comptroller Atkins,State Comptroller,/character/284.webp,['This grant ensures a light bulb in every classroom... and a high-definition TV for the teachers lounge.'],Alive
285,,,Male,John Wilkes Booth,Actor,/character/285.webp,[],Deceased
286,,,Male,Gavin,Student,/character/286.webp,[],Alive
287,,,Male,Burly,Mascot,/character/287.webp,"['Fantasize, Marge. Fantasize about Burly.']",Fictional
288,,,Female,Quinn Hopper,Coding teacher at Springfield ElementaryDeveloper of Conrad,/character/288.webp,[],Alive
289,,,Female,Princess Kashmir,Exotic dancer,/character/289.webp,[],Alive
290,,,Male,Frankie the Squealer,Mobster,/character/290.webp,"['Okay, it’s me! I cant help it! I just like squealing! It makes me feel big!', 'Did you know Fat Tonys real name is Marion?']",Alive
291,,,Male,Bobby Peterson,Dean of Springfield University,/character/291.webp,['That lousy Dean.'],Alive
292,,,Male,Tom Gammel,Unknown,/character/292.webp,[],Alive
293,,,Male,Jason Voorhees,Serial Killer,/character/293.webp,[],Deceased
294,,,Male,Alcatraaz,Rapper,/character/294.webp,[],Alive
295,,,Unknown,King Homer (character),Unknown,/character/295.webp,[],Fictional
296,,,Male,E-mail,Student at Springfield Elementary School,/character/296.webp,[],Alive
297,,,Male,God,Creator of the Universe,/character/297.webp,"['He is a force bigger than Mom and Dad put together, and you owe Him big.', ' If God needs money, why doesnt he just write another Bible? The first one sold pretty well.']",Alive
298,,,Male,Count von Count,Unknown,/character/298.webp,[],Alive
299,,,Male,McGarnagle,Unknown,/character/299.webp,[],Fictional
300,,,Male,Hypnotist,HypnotistMall Santa Trainer,/character/300.webp,[],Alive
301,,,Male,Bleeding Gums Murphy,Musician,/character/301.webp,"['The Blues aint about feeling better; its about making other people feel worse.', 'Baby, you are gonna see this… Here, take this for luck.']",Deceased
302,,,Unknown,Scratchy Jr.,Unknown,/character/302.webp,[],Fictional
303,,,Male,Mr. Hippie,Substitute teacher,/character/303.webp,[],Alive
304,,,Male,Justin,Student,/character/304.webp,[],Unknown
305,,,Female,Carmen Electra (character),TV Show Co-HostActress,/character/305.webp,[],Alive
306,,,Female,Female Korean Artist 1 (couch gag),Cartoonist,/character/306.webp,[],Unknown
307,,,Male,Apu's Dog,Unknown,/character/307.webp,[],Alive
308,,,Male,Colonel Klink,Colonel / Fictional character / Homer's conscience,/character/308.webp,[],Fictional
309,,,Male,Ed McMahon,Announcer,/character/309.webp,[],Unknown
310,,,Female,Dr. Stacey Swanson,Psychologist,/character/310.webp,[],Alive
311,,,Female,Gina Vendetti,Unknown,/character/311.webp,"['Im Gina. Touch my fence again, and your pubertys gonna be very boring.', 'Who is this nerd?']",Alive
312,,,Male,Red Barclay,Trucker,/character/312.webp,"['Red Barclays my name. Im a trucker, and Ive eaten steaks from coast to coast with taters and toast.']",Deceased
313,,,Male,Robin Williams,Actor,/character/313.webp,[],Deceased
314,,,Male,Old Jewish Man,Retired (currently)Casablanca studio executive (formerly),/character/314.webp,[],Alive
315,,,Unknown,Miss Piggy,Unknown,/character/315.webp,[],Alive
316,,,Unknown,Chocolate rabbits,Unknown,/character/316.webp,[],Unknown
317,,,Male,Lionel Richie,Singer,/character/317.webp,[],Alive
318,,,Male,Q-Bert Spuckler,Unknown,/character/318.webp,[],Alive
319,,,Male,Fidel Castro,Ex-Cuban President,/character/319.webp,[],Deceased
320,,,Female,Ms. Mouse,Unknown,/character/320.webp,[],Fictional
321,,,Female,Sara (Student),Student at Springfield Elementary School,/character/321.webp,"['(Harassing Lisa) Out of the way, brain queen!']",Alive
322,,,Male,Mike's Student 2,Fifth Grade Student at Springfield Elementary School,/character/322.webp,[],Alive
323,,,Male,American Spy,Spy for the American Government,/character/323.webp,"['So, Sparrow, we meet again.']",Alive
324,,,Male,Male Twin,Student at Springfield Elementary School,/character/324.webp,[],Alive
325,,,Male,Repo Man 2 (Make Room for Lisa),Repo agent,/character/325.webp,[],Unknown
326,,,Male,Arnold Schwarzenegger,President of the United States,/character/326.webp,"['I was elected to lead, not to read. Number 3!']",Alive
327,,,Female,Mrs. Rhenquist,Unknown,/character/327.webp,[],Alive
328,,,Male,"""Where the Redfern Grows"" 5th grader",Student,/character/328.webp,[],Alive
329,,,Male,Ezekiel,Student,/character/329.webp,[],Alive
330,,,Male,Oscar the Grouch,Unknown,/character/330.webp,[],Alive
331,,,Male,Evan Conover,Undersecretary for International Protocol,/character/331.webp,[],Alive
332,,,Male,Fritz,Businessman,/character/332.webp,[],Alive
333,,,Female,Poor Violet,Sympathy Orphan,/character/333.webp,[],Alive
334,,,Male,Audrey McConnell's Student 1,Student at Springfield Elementary School,/character/334.webp,"['(Agreeing with Bart, who suggested waiting for shine) Definitely shine.']",Alive
335,,,Male,Bill (KBBL DJ),Radio DJ,/character/335.webp,[],Alive
336,,,Male,Benedict Arnold,Soldier,/character/336.webp,[],Deceased
337,,,Male,Sandeep Nahasapeemapetilon,Unknown,/character/337.webp,['Come.'],Alive
338,,,Male,Howard (Moaning Lisa),Student,/character/338.webp,"['You got yourself a deal, fido.']",Alive
339,,,Male,Male Club Hopper (couch gag),Unknown,/character/339.webp,[],Unknown
340,,,Female,Aunt Hortense,Unknown,/character/340.webp,[],Deceased
341,,,Male,Abraham Lincoln,16th President of the United States,/character/341.webp,[],Deceased
342,,,Male,The Warden,Warden,/character/342.webp,[],Unknown
343,,,Male,Dalai Lama,High lama,/character/343.webp,[],Alive
344,,,Male,Corporal Punishment,Enforcer on Krusty's show,/character/344.webp,[],Alive
345,,,Male,José Canseco (character),Baseball player,/character/345.webp,[],Alive
346,,,Male,Sakatumi,Professional sumo wrestler at the Sumo Stadium,/character/346.webp,[],Alive
347,,,Male,Joey,Mobster,/character/347.webp,[],Alive
348,,,Male,Horst,Businessman,/character/348.webp,"['All right, Mr. Burns, you win. But beware, we Germans arent all smiles und sunshine.']",Alive
349,,,Male,Mr. Zörker,Unknown,/character/349.webp,[],Alive
350,,,Male,Stuart,Unknown,/character/350.webp,[],Alive
351,,,Male,Benjamin Franklin,Inventor,/character/351.webp,['Its time you all learned that heaven can be a hell of a place!'],Deceased
352,,,Female,Summer Romance girl,Student (possible),/character/352.webp,[],Alive
353,,,Male,Akira,Waiter/Chef at The Happy SumoKarate teacher at Springfield Martial Arts Academy,/character/353.webp,"['You can if you believe you can.', 'No, you just got pain.', 'Technique. Ha ha!']",Alive
354,,,Male,Adam,Being one of God's people,/character/354.webp,[],Noncanon Deceased
355,,,Unknown,Captain Kwik,Unknown,/character/355.webp,"['Captain Kwik Must Respectfully Disagree, Malefactor!']",Unknown
356,,,Unknown,Blinky,Unknown,/character/356.webp,[],Deceased
357,,,Male,Rod Runtledge,Radioactive Man's sidekick Fallout Boy,/character/357.webp,[],Unknown
358,,,Male,Tiago,Samba School teacher,/character/358.webp,[],Alive
359,,,Male,Sadruddin Mahbaradad,Unknown,/character/359.webp,[],Unknown
360,,,Female,Judge Julie,Judge at the Springfield County Court House,/character/360.webp,[],Alive
361,,,Unknown,Cutout Foot,Unknown,/character/361.webp,[],Unknown
362,,,Female,Girl with glasses,Student,/character/362.webp,[],Alive
363,,,Unknown,Sharks (couch gag),Unknown,/character/363.webp,[],Unknown
364,,,Male,Neil,Spokesman for Powersauce,/character/364.webp,[],Alive
365,,,Male,Sherri and Terri's unnamed sons,Unknown,/character/365.webp,[],Noncanon
366,,,Female,Tyler's Sister,Student at Springfield Elementary,/character/366.webp,[],Alive
367,,,Male,Golem of Prague,Slave,/character/367.webp,[],Alive
368,,,Male,SpongeBob SquarePants,Fry cook,/character/368.webp,[],Alive
369,,,Female,Alex Whitney,Student at Springfield Elementary School,/character/369.webp,"['Oh, yeah, like Id be seen with a Discover card.']",Alive
370,,,Male,Woody Allen,ActorAuthorComedianDirectorMusicianPlaywrightScreenwriter,/character/370.webp,[],Alive
371,,,Male,Angelo,Employee at Luigi'sSub-contractor,/character/371.webp,['I like to chew.'],Alive
372,,,Male,The District Attorney,Springfield District Attorney,/character/372.webp,[],Alive
373,,,Male,Primo,Mobster,/character/373.webp,[],Deceased
374,,,Male,Alec Baldwin (character),Actor,/character/374.webp,[],Alive
375,,,Unknown,Rosa Barks,Unknown,/character/375.webp,[],Alive
376,,,Female,Little Debbie Dimples,Clown,/character/376.webp,[],Alive
377,,,Male,Brown-haired boy,Student,/character/377.webp,[],Alive
378,,,Male,The Grumple,Thief of Holiday Cheer,/character/378.webp,"['Grumply-grumply-groo, were here to share Christmas with you!']",Fictional
379,,,Female,Sashi Nahasapeemapetilon,Unknown,/character/379.webp,['Will.'],Alive
380,,,Male,Munchie,Owner of Groovy Grove Juice Corporation,/character/380.webp,[],Alive
381,,,Unknown,The Ingestible Bulk,Unknown,/character/381.webp,['Bulk Gnash!!HOMER MAD! HOMER SMASH! GET REVENGE ON WORLD!'],Unknown
382,,,Unknown,Laddie,Unknown,/character/382.webp,[],Alive
383,,,Male,Ernest Hemingway,AuthorJournalist,/character/383.webp,[],Deceased
384,,,Male,Roscoe,Ajax Steel Mill manager,/character/384.webp,[],Alive
385,,,Male,Dakota (Orange),Student at Springfield Elementary,/character/385.webp,[],Alive
386,,,Female,Cheery,Fictional character,/character/386.webp,[],Unknown
387,,,Female,Evelyn Peters,Socialite,/character/387.webp,"['Oh, Marge, youve come a long way from the girl I knew nothing about in high school.']",Alive
388,,,Male,Cowboy Bob,RV Salesman,/character/388.webp,[],Alive
389,,,Female,Noah's Mother,Unknown,/character/389.webp,['Hes  of you!...Noah’s hot mom.'],Alive
390,,,Female,Gunter's Wife,Unknown,/character/390.webp,[],Alive
391,,,Female,Pahusacheta Nahasapeemapetilon,Unknown,/character/391.webp,"['Father! Uncle Apu! A teacher was in the closet with the principal and he had as many arms as Vishnu and they were all very busy.', 'I am Pahusacheta Nahasapeemapetilon and tonight I will be playing MacArthur Park on the tabla.']",Alive
392,,,Male,Irish Policeman,Policeman,/character/392.webp,[],Alive
393,,,Male,Stark Richdale,Writer  Teacher,/character/393.webp,[],Alive
394,,,Male,Joey Jo-Jo Junior Shabadoo,Unknown,/character/394.webp,[],Alive
395,,,Female,Valley Mercer,Student,/character/395.webp,[],Alive
396,,,Female,Ms. Phipps,Springfield Elementary School Nurse,/character/396.webp,[],Alive
397,,,Female,Ice Cream Lady,Waitress,/character/397.webp,[],Unknown
398,,,Male,Sandwich Delivery Guy,Sandwich delivery,/character/398.webp,[],Alive
399,,,Female,Nina Skalka,Student,/character/399.webp,['It totally works.Boys are gross! Everything is gross!'],Alive
400,,,Unknown,Toucan Sam,Unknown,/character/400.webp,[],Deceased
401,,,Male,Kearney's Other Son,Unknown,/character/401.webp,[],Alive
402,,,Male,Master Sushi Chef,Sushi Chef at The Happy Sumo,/character/402.webp,[],Alive
403,,,Male,Lester,Fourth Grade Student,/character/403.webp,[],Alive
404,,,Female,Penelope Owsley,Former coaster on Krusty the Clown's show,/character/404.webp,[],Alive
405,,,Female,Gypsy,Fortuneteller in Gypsy's Shop,/character/405.webp,[],Alive
406,,,Male,Cthulhu,Unknown,/character/406.webp,[],Alive
407,,,Female,Puppy Goo-Goo,Milhouse’s toy dog,/character/407.webp,['Oh puppy goo-goo fetch me a dream'],Alive
408,,,Male,Johnny Carson,Television host,/character/408.webp,[],Deceased
409,,,Female,Tabitha Shingle,Podcast host,/character/409.webp,[],Alive
410,,,Female,Ellen DeGeneres (character),"Comedian, Actress",/character/410.webp,[],Alive
411,,,Female,Brown-haired girl,Student at Springfield Elementary School,/character/411.webp,[],Alive
412,,,Female,Dorothy,Unknown,/character/412.webp,[],Alive
413,,,Female,Ballet Teacher,Ballet teacher at Springfield Elementary School,/character/413.webp,[],Alive
414,,,Male,Capital City Goofball,Capital City baseball team mascot; state legislator,/character/414.webp,[],Alive
415,,,Female,Courtney Love,SingerGuitaristActress,/character/415.webp,[],Alive
416,,,Male,Bing Crosby,Unknown,/character/416.webp,[],Deceased
417,,,Unknown,Conformco,Unknown,/character/417.webp,[],Unknown
418,,,Female,Popular Girl 1,Student at Springfield Elementary School,/character/418.webp,"['(Speaking to Lisa) No, go ahead, take it. Take it way over there.']",Alive
419,,,Unknown,The Incredible Hulk,Unknown,/character/419.webp,[],Unknown
420,,,Male,The Collider,Super Villain,/character/420.webp,[],Fictional
421,,,Unknown,The Android's Dungeon & Baseball Card Shop,Unknown,/character/421.webp,[],Unknown
422,,,Female,Mrs. Smithers,Unknown,/character/422.webp,[],Alive
423,,,Female,Becky Shorter,Springfield Elementary School Student,/character/423.webp,['Ill take...dare!'],Alive
424,,,Male,Space Mutants,Movie mutants,/character/424.webp,[],Alive
425,,,Male,Mike Scioscia (character),Baseball player,/character/425.webp,[],Alive
426,,,Male,Contractor,Contractor,/character/426.webp,[],Alive
427,,,Male,Jack Crowley,CriminalPainter,/character/427.webp,"['Puma pride! Puma pride! Catch the fever, Skinner!']",Alive
428,,,Male,Duff Beer Advertiser,Actor,/character/428.webp,[],Alive
429,,,Male,Robot (Lost in Space),Robot,/character/429.webp,[],Unknown
430,,,Unknown,Patricia,Socialite,/character/430.webp,[],Unknown
431,,,Unknown,The Larry Davis Experience,Unknown,/character/431.webp,[],Unknown
432,,,Male,Jimmy Carter,Former President,/character/432.webp,[],Alive
433,,,Male,Fireman 2 (couch gag),Fireman,/character/433.webp,[],Alive
434,,,Male,Roy,Unknown,/character/434.webp,[],Alive
435,,,Female,Shary Bobbins,Nanny for The Simpson family (Former),/character/435.webp,['Ive been singing you songs all day; Im not a bloody jukebox!'],Deceased
436,,,Male,Ron Howard (character),Film Director,/character/436.webp,[],Alive
437,,,Female,Heather Spuckler,Singer/Child,/character/437.webp,[],Alive
438,,,Female,Sara Sloane,Movie StarCelebrity,/character/438.webp,[],Alive
439,,,Male,Clifford Burns,Unknown,/character/439.webp,['You should be out in the fresh air kickin dogs!'],Deceased
440,,,Male,Sheldon Skinner,Radio operator,/character/440.webp,[],Deceased
441,,,Male,Captain Tenille,US Naval submarine captain,/character/441.webp,['Dont fire the torpedoes!'],Deceased
442,,,Male,Number 51,Former Stonecutter,/character/442.webp,[],Alive
443,,,Female,Xena the Warrior Princess,Super hero,/character/443.webp,[],Alive
444,,,Male,Cosine Tangent,Student,/character/444.webp,[],Alive
445,,,Unknown,Fruit Bat Man,Unknown,/character/445.webp,['Feel the weightless tickle of justice!'],Unknown
446,,,Female,Groundskeeper Wilma,Groundskeeper at Shelbyville Elementary School,/character/446.webp,"['Slow down, ya sidewalk-surfin cube gleamers!']",Alive
447,,,Male,Fit-Fat Tony,Mob boss,/character/447.webp,"['If the boy wants to smoosh, the boy will smoosh.', 'And theres no better exercise than killing and disemboweling a big fat snitch.', 'Disgusting! And you give the Kiss of Death with those lips?', 'I like you. I dont know whether or not to knock you on your kisser or kiss you on your knockers.', 'Freakin millennials.', 'The three of us, we are not so different.']",Alive
448,,,Female,Teenage Babysitter,StudentBabysitter,/character/448.webp,[],Alive
449,,,Male,Waverly Hills Boy 1,Student at Waverly Hills Elementary School,/character/449.webp,[],Alive
450,,,Male,Lucius Sweet,Boxing manager,/character/450.webp,[],Alive
451,,,Female,Isabel Gutiérrez,Student at Springfield Elementary School,/character/451.webp,"['If you haven’t guessed, I’m a Republican!']",Alive
452,,,Male,Aristotle Amadopolis,Owner of Shelbyville Nuclear Power Plant,/character/452.webp,[],Alive
453,,,Female,Mrs. Nahasapeemapetilon,Unknown,/character/453.webp,[],Alive
454,,,Male,Sebastian Cobb,Scientist,/character/454.webp,"['Lanley hired me to build his monorail. He cut corners everywhere; bad wiring, faulty brakes, and the celebrity on the maiden voyage was Gallagher.']",Unknown
455,,,Male,Birthday Spuckler,Homeschooled studentFormer star of The Krusty the Clown Show,/character/455.webp,[],Alive
456,,,Male,Nigel (Moho House),Unknown,/character/456.webp,[],Alive
457,,,Female,Nana Sophie Mussolini,Retired,/character/457.webp,[],Alive
458,,,Male,Paul McCartney (character),Musician,/character/458.webp,[],Alive
459,,,Female,Amber Dempsey,Little Miss Springfield,/character/459.webp,[],Alive
460,,,Female,Retirement Castle administrator (Bart the General),Administrator at the Springfield Retirement Castle,/character/460.webp,[],Alive
461,,,Female,Maria Quimby,Actress,/character/461.webp,[],Alive
462,,,Male,Hunter (couch gag),Hunter,/character/462.webp,[],Unknown
463,,,Female,Mrs. Shorter,Unknown,/character/463.webp,[],Unknown
464,,,Male,Bait Shop Owner,Catfish Lake Bait Store Owner,/character/464.webp,[],Unknown
465,,,Male,Professor Huntington,Professor at Swigmore University,/character/465.webp,[],Deceased
466,,,Male,David Crosby (character),SingerSongwriter,/character/466.webp,[],Deceased
467,,,Female,Grandma Flanders,Retired,/character/467.webp,"['Hello, Joe.']",Deceased
468,,,Male,Brody McKenna,Federal Prosecutor,/character/468.webp,[],Alive
469,,,Female,Barbara Bush,Former First Lady of the United States (1989-1993),/character/469.webp,[],Deceased
470,,,Female,Sherri and Terri's Great-Aunt,Unknown (Probably retired),/character/470.webp,[],Alive
471,,,Male,Jerry Mackleberry,Student,/character/471.webp,[],Noncanon
472,,,Male,Dave Shutton,Investigative journalist,/character/472.webp,[],Alive
473,99,1876-11-30,Male,Orville Simpson,Disciplinarian,/character/473.webp,"['See, son, thats where were going to live... maybe not today, maybe not tomorra. But someday. ', 'Homer! Get over here! Youre due for a salutary whipping!']",Unknown
474,,,Male,Jiff Simpson,Unknown,/character/474.webp,"['It smells like dog, but theres no dog!']",Alive
475,,,Male,Bob Dole,Presidential candidate,/character/475.webp,[],Deceased
476,,,Male,Mr. Sparkle (mascot),Mascot for a Japanese detergent company,/character/476.webp,[],Fictional
477,,,Male,"Frank Grimes, Jr.",Mechanic,/character/477.webp,['Dont you remember? Your ape-like incompetence drove my father insane!'],Alive
478,,,Female,Kathy,Personnel for Charles Montgomery Burns at the Springfield Nuclear Power Plant,/character/478.webp,[],Alive
479,,,Unknown,Mothra,Unknown,/character/479.webp,[],Alive
480,,,Female,Gloria's Daughter,Unknown,/character/480.webp,[],Alive
481,,,Male,Pyro,American Gladiator,/character/481.webp,[],Alive
482,,,Male,Hank Hill,Assistant Manager of Strickland Propane,/character/482.webp,[],Alive
483,,,Female,Rubella Scabies Spuckler,Unknown,/character/483.webp,[],Alive
484,,,Male,Marty (KBBL DJ),KBBL radio DJ,/character/484.webp,[],Alive
485,,,Male,Don Castellaneta,Mafia boss,/character/485.webp,[],Alive
486,,,Female,Female Club Hopper 2 (couch gag),Unknown,/character/486.webp,[],Unknown
487,,,Female,Cyndi Lauper,Actress,/character/487.webp,[],Alive
488,,,Male,Yendor,Fictional Character,/character/488.webp,[],Unknown
489,,,Female,Afro Girl,Student,/character/489.webp,[],Unknown
490,,,Female,Diane (network executive),Network executive,/character/490.webp,"['Youre not doing this fast enough. Youre fired, too!']",Alive
491,,,Female,Ashley (3rd Grader),Student at Springfield Elementary,/character/491.webp,[],Alive
492,,,Male,Johnny Unitas (character),Football Player,/character/492.webp,[],Deceased
493,,,Male,Giant Handed Man,Employee at Springfield Nuclear Power Plant,/character/493.webp,[],Alive
